Hoell, Larsson et al: Supplementary Dataset 2;;;;;;;;;;
;;;;;;;;;;
Transcripts: All transcripts annotated to this gene in RefSeq;;;;;;;;;;
Gene size: Base pairs from 5'-most transcript start to 3'-most transcript end;;;;;;;;;;
CCs: Crosslinked clusters (binding sites) with >= 10 reads and 25% T-to-C changes;;;;;;;;;;
Features: Number of binding sites in introns|5'UTR|CDS|3'UTR|non-coding transcript|ambigous;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Gene;Transcripts;Gene size;FUS CCs;Features;EWSR1 CCs;Features;TAF15 CCs;Features;Mutant FUS CCs;Features
FHIT;NM_002012,NM_001166243;1502098;44;44|0|0|0|0|0;2;2|0|0|0|0|0;2;2|0|0|0|0|0;2;2|0|0|0|0|0
FHL1;NR_027621,NM_001159703,NM_001159702,NM_001449,NM_001159700,NM_001159704,NM_001167819,NM_001159701,NM_001159699;64658;7;4|0|0|0|0|3;2;0|0|0|0|0|2;0;0|0|0|0|0|0;3;1|0|0|0|0|2
FHL2;NM_001450,NM_001039492,NM_201557,NM_201555;77948;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FHOD3;NM_025135;482317;4;4|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FIG4;NM_014845;134211;4;4|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FIGN;NM_018086;128396;4;3|1|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FIGNL1;NM_022116,NM_001042762;6257;3;1|1|0|1|0|0;1;0|0|0|1|0|0;1;0|0|1|0|0|0;2;0|0|1|1|0|0
FIP1L1;NM_030917,NM_001134938,NM_001134937;82284;5;5|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|1|0|0|0
FJX1;NM_014344;2687;1;0|0|0|1|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0
FKBP14;NM_017946;13385;2;0|0|0|2|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FKBP15;NM_015258;55842;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FKBP1A;NM_000801,NM_054014;24195;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FKBP3;NM_002013;18931;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
FKBP4;NM_002014;10480;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FKBP5;NM_004117,NM_001145776,NM_001145775,NM_001145777;154999;3;3|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FKBP8;NM_012181;11816;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FKRP;NM_024301,NM_001039885;12530;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FKTN;NM_006731,NM_001079802,NM_001198963;82989;1;0|1|0|0|0|0;4;1|0|0|1|0|2;0;0|0|0|0|0|0;2;0|0|0|0|0|2
FLCN;NM_144997,NM_144606;24976;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
FLII;NM_002018;13903;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FLJ30403;NR_034159;2598;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ30838;NR_033873;543014;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ31306;NR_029435,NR_029434;32773;3;3|0|0|0|0|0;4;3|0|0|0|1|0;3;2|0|0|0|1|0;2;2|0|0|0|0|0
FLJ33360;NR_028351;26852;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ33630;NR_015360;61523;3;3|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ36031;NM_175884;2443;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
FLJ39080;NR_033830;158487;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ39534;NR_033373;79747;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ39639;NR_033904;3799;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ40852;NR_015392;33893;2;1|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ41278;NR_033988;93749;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ41350;NR_029380;9266;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ42709;NR_015369,NR_021491,NR_021490;171939;6;6|0|0|0|0|0;4;4|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ43663;NR_015431,NR_024153;164644;4;4|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
FLJ45244;NR_015415;22246;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ45340;NR_024368;19758;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLJ90757;NR_026857;5587;1;0|0|0|0|1|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLNA;NM_001456,NM_001110556;26107;1;0|0|1|0|0|0;3;0|0|3|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLNB;NM_001457,NM_001164319,NM_001164318,NM_001164317;163856;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FLOT2;NM_004475;18359;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
FLT1;NM_002019,NM_001160031,NM_001159920,NM_001160030;194783;1;0|0|0|0|0|1;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FMN1;NM_001103184;302339;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FMN2;NM_020066;383305;12;12|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FMNL2;NM_052905;314598;10;10|0|0|0|0|0;2;2|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
FMR1;NM_001185081,NM_001185082,NM_002024,NM_001185076,NM_001185075,NR_033699,NR_033700;39179;7;7|0|0|0|0|0;7;6|0|0|0|0|1;1;0|0|0|0|0|1;4;1|0|0|0|0|3
FN1;NM_212474,NM_212478,NM_002026,NM_212482,NM_054034,NM_212476;75613;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FNBP1;NM_015033;156008;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
FNBP1L;NM_017737,NM_001024948,NM_001164473;106531;7;7|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FNBP4;NM_015308;50925;3;2|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
FNDC3A;NM_014923,NM_001079673;233868;8;8|0|0|0|0|0;11;6|0|3|2|0|0;1;0|0|0|1|0|0;5;1|0|0|4|0|0
FNDC3B;NM_022763,NM_001135095;361075;14;14|0|0|0|0|0;3;3|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
FNDC4;NM_022823;3377;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FNIP1;NM_133372,NM_001008738;155350;13;10|0|0|3|0|0;8;2|0|2|4|0|0;0;0|0|0|0|0|0;3;0|0|0|3|0|0
FNIP2;NM_020840;137773;1;0|0|0|1|0|0;3;0|0|1|2|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
FNTA;NM_002027,NR_033698;29490;3;3|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FNTB;NM_002028;75864;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FOSL2;NM_005253;21738;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FOXC1;NM_001453;3449;3;0|0|0|3|0|0;2;0|0|0|2|0|0;5;0|0|0|5|0|0;6;0|0|0|6|0|0
FOXD1;NM_004472;2268;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FOXG1;NM_005249;2585;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0;1;0|0|0|1|0|0
FOXJ3;NM_001198850,NM_014947,NM_001198851,NM_001198852;159339;12;11|0|1|0|0|0;4;0|0|1|3|0|0;2;1|0|0|1|0|0;2;0|0|0|2|0|0
FOXK1;NM_001037165;89145;3;1|0|0|2|0|0;2;0|0|0|2|0|0;2;0|0|0|2|0|0;3;0|0|0|3|0|0
FOXK2;NM_004514;84890;5;3|0|0|2|0|0;3;0|0|1|2|0|0;5;3|0|0|2|0|0;4;0|0|0|4|0|0
FOXM1;NM_202002,NM_021953,NM_202003;19455;3;2|0|0|1|0|0;1;0|0|1|0|0|0;1;0|0|0|1|0|0;4;1|0|1|2|0|0
FOXN2;NM_002158;64640;2;1|0|0|1|0|0;5;0|0|1|4|0|0;2;0|0|1|1|0|0;6;0|0|1|5|0|0
FOXN3;NM_001085471,NM_005197;462979;5;5|0|0|0|0|0;4;2|0|0|2|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FOXO1;NM_002015;110934;9;8|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FOXO3;NM_001455,NM_201559;124946;14;14|0|0|0|0|0;12;12|0|0|0|0|0;4;4|0|0|0|0|0;1;1|0|0|0|0|0
FOXO4;NM_001170931,NM_005938;7386;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FOXP1;NM_032682,NM_001012505;628405;9;9|0|0|0|0|0;2;2|0|0|0|0|0;2;2|0|0|0|0|0;2;1|0|1|0|0|0
FOXP2;NM_001172767,NM_001172766,NM_148899,NM_014491,NM_148900,NR_033766,NR_033767,NM_148898;607463;68;67|0|0|0|0|1;7;7|0|0|0|0|0;2;2|0|0|0|0|0;1;1|0|0|0|0|0
FOXQ1;NM_033260;2319;2;0|0|0|2|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FOXRED1;NM_017547;8973;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0
FOXRED2;NM_024955,NM_001102371;19916;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FRA10AC1;NM_145246;34690;5;3|0|0|2|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0
FRAS1;NM_025074,NM_001166133;486700;10;10|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FREM2;NM_207361;200095;5;4|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FRMD3;NM_174938;291042;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FRMD4A;NM_018027;687161;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FRMD4B;NM_015123;216285;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FRMD5;NM_032892;321700;10;10|0|0|0|0|0;3;3|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
FRMD6;NM_001042481,NM_152330;241590;3;2|0|0|1|0|0;3;0|0|0|3|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
FRMPD4;NM_014728;586058;37;37|0|0|0|0|0;3;3|0|0|0|0|0;3;3|0|0|0|0|0;0;0|0|0|0|0|0
FRRS1;NM_001013660;57091;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FRS2;NM_006654,NM_001042555;109434;21;14|0|0|7|0|0;5;0|0|0|5|0|0;2;1|0|0|1|0|0;5;0|0|0|5|0|0
FRY;NM_023037;265340;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FRYL;NM_015030;282937;10;10|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FSD1L;NM_207647,NM_001145313,NM_031919;101071;7;6|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
FSIP1;NM_152597;182808;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FSTL1;NM_007085;56858;5;3|0|0|2|0|0;2;0|0|0|2|0|0;3;0|0|0|3|0|0;5;0|0|0|5|0|0
FSTL4;NM_015082;416072;2;2|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FTH1;NM_002032;3376;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FTL;NM_000146;1571;1;0|0|0|1|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
FTO;NM_001080432;410505;14;14|0|0|0|0|0;7;6|0|0|1|0|0;2;2|0|0|0|0|0;3;0|0|1|2|0|0
FTSJD1;NM_018348,NM_001099642;7307;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
FTSJD2;NM_015050;48378;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FUBP1;NM_003902;31187;15;12|0|0|3|0|0;8;5|0|1|2|0|0;8;6|0|1|1|0|0;4;1|0|1|2|0|0
FUBP3;NM_003934;58780;7;4|0|0|3|0|0;2;0|0|0|2|0|0;5;1|0|0|4|0|0;7;0|0|0|7|0|0
FUCA2;NM_032020;17072;2;0|0|0|2|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
FUNDC1;NM_173794;19337;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0
FUNDC2;NM_023934;30128;2;1|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FUS;NM_001170634,NM_004960,NR_028388,NM_001170937;14762;8;5|0|0|0|0|3;3;3|0|0|0|0|0;4;4|0|0|0|0|0;4;3|0|0|0|0|1
FUT1;NM_000148;7380;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0
FUT10;NM_032664;102321;2;1|0|0|1|0|0;2;1|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
FUT11;NM_173540;3928;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FUT8;NM_178156,NM_178155,NM_004480,NM_178154,NM_178157;332123;15;15|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
FXC1;NM_012192;3235;1;0|0|0|1|0|0;0;0|0|0|0|0|0;3;0|0|0|3|0|0;1;0|0|0|1|0|0
FXN;NM_181425,NM_000144,NM_001161706;64616;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FXR1;NM_005087,NM_001013439,NM_001013438;70306;9;7|0|1|0|0|1;4;1|0|0|2|0|1;1;0|0|0|0|0|1;4;2|0|1|1|0|0
FXR2;NM_004860;23669;1;0|0|1|0|0|0;2;0|0|2|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
FYCO1;NM_024513;77913;1;0|0|0|1|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FYN;NM_002037,NM_153048,NM_153047;212143;16;16|0|0|0|0|0;7;5|0|1|1|0|0;5;5|0|0|0|0|0;1;0|0|0|1|0|0
FYTTD1;NM_032288,NM_001011537,NR_027840;34894;3;1|0|0|0|0|2;0;0|0|0|0|0|0;1;0|0|0|0|0|1;4;0|0|0|0|0|4
FZD1;NM_003505;4350;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0
FZD3;NM_017412;70189;5;1|0|2|2|0|0;2;1|0|0|1|0|0;3;0|0|1|2|0|0;4;0|0|0|4|0|0
FZD4;NM_012193;9713;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
FZD6;NM_001164615,NM_001164616,NM_003506;34434;4;3|0|0|1|0|0;3;2|0|1|0|0|0;0;0|0|0|0|0|0;4;0|0|1|3|0|0
FZD7;NM_003507;3851;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
G2E3;NM_017769;60718;14;9|0|1|4|0|0;8;3|0|1|4|0|0;5;2|0|1|2|0|0;7;2|0|1|4|0|0
G3BP1;NM_198395,NM_005754;33440;5;3|0|0|2|0|0;2;1|0|0|1|0|0;5;1|0|1|3|0|0;7;0|0|2|5|0|0
G3BP2;NM_012297,NM_203504,NM_203505;30715;5;0|0|0|5|0|0;6;0|0|0|6|0|0;4;0|0|0|4|0|0;6;0|0|0|6|0|0
G6PC3;NR_028582,NM_138387,NR_028581;5615;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|0|0|1
GAB1;NM_002039,NM_207123;137736;5;3|0|0|2|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GAB2;NM_012296,NM_080491;202533;4;4|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GABARAPL1;NM_031412;10236;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0
GABARAPL2;NM_007285;11531;0;0|0|0|0|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0;2;0|0|0|2|0|0
GABPA;NM_001197297,NM_002040;37514;4;3|0|0|1|0|0;6;2|0|0|4|0|0;4;2|0|0|2|0|0;6;0|0|0|6|0|0
GABPB1;NM_016655,NM_181427,NM_005254,NM_016654,NM_002041;78217;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GABPB2;NM_144618;47928;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
GABRA5;NM_000810,NM_001165037;114145;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|1|0|0|0|0
GABRB3;NM_001191321,NM_000814,NM_001191320,NM_021912;230242;6;5|0|0|1|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;3;1|0|1|1|0|0
GABRR2;NM_002043;57729;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GAD1;NM_000817,NM_013445;44460;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GADD45A;NM_001924;3137;2;0|0|1|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0
GADD45B;NM_015675;2135;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
GAL3ST1;NM_004861;10253;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GALC;NM_000153,NM_001037525;60550;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GALE;NM_000403,NM_001127621,NM_001008216;5206;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|1|0|0|0|0;1;0|1|0|0|0|0
GALK2;NM_002044,NM_001001556;174027;3;2|0|0|1|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0;0;0|0|0|0|0|0
GALM;NM_138801;68858;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GALNT1;NM_020474;57266;2;0|0|1|1|0|0;3;0|0|1|2|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
GALNT10;NM_198321;230249;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GALNT11;NM_022087;96650;3;3|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GALNT13;NM_052917;582064;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GALNT14;NM_024572;228239;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GALNT2;NM_004481;214920;4;4|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
GALNT3;NM_004482;46491;3;2|0|0|1|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GALNT7;NM_017423;155215;9;7|0|0|2|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0;6;0|0|0|6|0|0
GALNTL1;NM_020692,NM_001168368;94510;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GALNTL4;NM_198516;351141;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
GAN;NM_022041;65233;2;1|0|0|1|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
GANAB;NM_198334,NM_198335;21807;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GANC;NM_198141;79499;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GAPVD1;NM_015635;103180;6;5|0|1|0|0|0;3;0|0|1|2|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
GAR1;NM_018983,NM_032993;9228;1;0|0|1|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0;1;0|0|1|0|0|0
GARNL3;NM_032293;129073;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GARS;NM_002047;39468;3;3|0|0|0|0|0;1;1|0|0|0|0|0;6;6|0|0|0|0|0;0;0|0|0|0|0|0
GART;NM_001136005,NM_000819,NM_001136006,NM_175085;38961;5;4|0|1|0|0|0;2;0|0|1|0|0|1;2;0|0|1|0|0|1;2;0|0|1|0|0|1
GAS1;NM_002048;2828;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GAS2L3;NM_174942;51197;9;9|0|0|0|0|0;2;2|0|0|0|0|0;2;2|0|0|0|0|0;1;1|0|0|0|0|0
GAS5;NR_002578;4087;2;2|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0
GAS6;NM_001143946,NM_001143945,NM_000820;43525;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GATA3;NM_002051,NM_001002295;20498;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GATA6;NM_005257;32812;4;2|0|0|2|0|0;3;0|0|1|2|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0
GATAD1;NM_021167;11978;1;0|0|0|1|0|0;4;0|0|0|4|0|0;4;0|0|0|4|0|0;4;0|0|0|4|0|0
GATAD2A;NM_017660;123100;1;1|0|0|0|0|0;2;0|0|0|2|0|0;1;0|0|0|1|0|0;3;0|0|0|3|0|0
GATAD2B;NM_020699;118249;4;1|0|0|3|0|0;4;1|0|0|3|0|0;1;0|0|0|1|0|0;5;0|0|0|5|0|0
GATC;NR_033684,NM_176818;17316;0;0|0|0|0|0|0;0;0|0|0|0|0|0;3;0|0|0|0|0|3;3;0|0|0|0|0|3
GATS;NR_028040,NR_028038,NR_028039,NM_178831;71578;1;0|0|0|0|0|1;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GBA2;NM_020944;12363;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
GBAS;NM_001483;35576;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;3;0|0|1|2|0|0
GBE1;NM_000158;272101;3;3|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GBF1;NM_004193;137341;6;6|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GBP3;NM_018284;16190;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GCA;NM_012198;18566;3;3|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0
GCC1;NM_024523;4973;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GCC2;NM_181453,NR_028063;60278;3;2|0|0|0|0|1;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
GCFC1;NR_027873,NM_016631,NM_013329;37960;10;9|0|0|0|0|1;6;5|0|0|0|0|1;7;5|0|0|0|0|2;6;3|0|0|0|0|3
GCH1;NM_001024024,NM_000161,NM_001024070,NM_001024071;60819;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;3;0|0|0|2|0|1
GCHFR;NM_005258;3627;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
GCLC;NM_001498,NM_001197115;47788;3;3|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;3;0|0|0|3|0|0
